#: table_doi: 10.17182/hepdata.46774.v1/t1
#: name: Table 1
#: description: The electromagnetic structure function, F2(C=EM), in NC DIS scattering at Q**2 from 2.7 to 30000 GeV**2.

#: data_file: Table1.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: F2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],820.0
#: RE,E+ P --> E+ P
#: SQRT(S) [GeV],300.0,,,,
Q**2 [GEV**2],X,Y,F2(C=EM),stat +,stat -,sys +,sys -
2.7,6.32e-05,0.474,0.869,0.015,-0.015,0.041,-0.041
2.7,0.000161,0.186,0.744,0.007,-0.007,0.018,-0.018
2.7,0.0004,0.075,0.65,0.007,-0.007,0.025,-0.025
2.7,0.000632,0.047,0.607,0.009,-0.009,0.026,-0.026
2.7,0.002,0.015,0.477,0.004,-0.004,0.02,-0.02
3.5,6.32e-05,0.614,1.177,0.032,-0.032,0.149,-0.149
3.5,0.000102,0.38,0.979,0.02,-0.02,0.035,-0.035
3.5,0.000161,0.241,0.891,0.018,-0.018,0.022,-0.022
3.5,0.000253,0.153,0.833,0.016,-0.016,0.02,-0.02
3.5,0.0004,0.097,0.788,0.015,-0.015,0.021,-0.021
3.5,0.000632,0.061,0.701,0.013,-0.013,0.021,-0.021
3.5,0.002,0.019,0.554,0.005,-0.005,0.014,-0.014
3.5,0.008,0.005,0.472,0.005,-0.005,0.03,-0.03
4.5,0.000102,0.489,1.189,0.024,-0.024,0.069,-0.069
4.5,0.000161,0.31,1.013,0.02,-0.02,0.022,-0.022
4.5,0.000253,0.197,0.929,0.019,-0.019,0.024,-0.024
4.5,0.0004,0.125,0.884,0.019,-0.019,0.021,-0.021
4.5,0.000632,0.079,0.804,0.018,-0.018,0.016,-0.016
6.5,0.000102,0.706,1.392,0.033,-0.033,0.142,-0.142
6.5,0.000161,0.448,1.213,0.018,-0.018,0.044,-0.044
6.5,0.000253,0.285,1.094,0.016,-0.016,0.021,-0.021
6.5,0.0004,0.18,0.977,0.015,-0.015,0.018,-0.018
6.5,0.000632,0.114,0.9,0.014,-0.014,0.028,-0.028
6.5,0.00102,0.071,0.828,0.013,-0.013,0.017,-0.017
6.5,0.00161,0.045,0.74,0.013,-0.013,0.019,-0.019
6.5,0.00253,0.028,0.666,0.008,-0.008,0.013,-0.013
6.5,0.005,0.014,0.576,0.005,-0.005,0.024,-0.024
6.5,0.021,0.003,0.487,0.006,-0.006,0.042,-0.042
8.5,0.000161,0.585,1.323,0.033,-0.033,0.131,-0.131
8.5,0.000253,0.372,1.223,0.02,-0.02,0.033,-0.033
8.5,0.0004,0.236,1.078,0.017,-0.017,0.022,-0.022
8.5,0.000632,0.149,0.977,0.016,-0.016,0.027,-0.027
8.5,0.00102,0.092,0.877,0.014,-0.014,0.014,-0.014
8.5,0.00161,0.059,0.813,0.015,-0.015,0.013,-0.013
10.0,0.000161,0.689,1.4,0.059,-0.059,0.179,-0.179
10.0,0.000253,0.438,1.291,0.027,-0.027,0.058,-0.058
10.0,0.0004,0.277,1.115,0.021,-0.021,0.026,-0.026
10.0,0.000632,0.175,1.021,0.018,-0.018,0.019,-0.019
10.0,0.00102,0.109,0.935,0.017,-0.017,0.018,-0.018
10.0,0.00161,0.069,0.852,0.018,-0.018,0.017,-0.017
10.0,0.00253,0.044,0.761,0.015,-0.015,0.018,-0.018
10.0,0.005,0.022,0.624,0.007,-0.007,0.018,-0.018
10.0,0.021,0.005,0.503,0.006,-0.006,0.034,-0.034
12.0,0.000253,0.526,1.41,0.037,-0.037,0.106,-0.106
12.0,0.0004,0.333,1.217,0.028,-0.028,0.033,-0.033
12.0,0.000632,0.211,1.078,0.023,-0.023,0.025,-0.025
12.0,0.00102,0.13,0.985,0.02,-0.02,0.019,-0.019
12.0,0.00161,0.083,0.9,0.02,-0.02,0.014,-0.014
12.0,0.00253,0.053,0.794,0.017,-0.017,0.015,-0.015
15.0,0.000253,0.657,1.559,0.045,-0.045,0.118,-0.118
15.0,0.0004,0.416,1.303,0.03,-0.03,0.048,-0.048
15.0,0.000632,0.263,1.151,0.023,-0.023,0.025,-0.025
15.0,0.00102,0.163,1.059,0.02,-0.02,0.02,-0.02
15.0,0.00161,0.103,0.945,0.021,-0.021,0.015,-0.015
15.0,0.00253,0.066,0.837,0.018,-0.018,0.013,-0.013
15.0,0.005,0.033,0.706,0.011,-0.011,0.011,-0.011
15.0,0.021,0.008,0.519,0.005,-0.005,0.036,-0.036
18.0,0.0005,0.399,1.325,0.025,-0.025,0.054,-0.054
18.0,0.0008,0.249,1.169,0.026,-0.026,0.028,-0.028
18.0,0.0013,0.154,1.041,0.021,-0.021,0.023,-0.023
18.0,0.0021,0.095,0.93,0.021,-0.021,0.015,-0.015
18.0,0.0032,0.062,0.851,0.02,-0.02,0.015,-0.015
18.0,0.005,0.04,0.739,0.013,-0.013,0.013,-0.013
22.0,0.0005,0.488,1.425,0.036,-0.036,0.057,-0.057
22.0,0.0008,0.305,1.287,0.028,-0.028,0.024,-0.024
22.0,0.0013,0.188,1.071,0.025,-0.025,0.025,-0.025
22.0,0.0021,0.116,1.003,0.027,-0.027,0.02,-0.02
22.0,0.0032,0.076,0.905,0.024,-0.024,0.015,-0.015
22.0,0.005,0.049,0.771,0.019,-0.019,0.013,-0.013
22.0,0.008,0.03,0.656,0.016,-0.016,0.011,-0.011
22.0,0.013,0.019,0.581,0.012,-0.012,0.033,-0.033
22.0,0.032,0.008,0.512,0.009,-0.009,0.035,-0.035
27.0,0.0005,0.599,1.62,0.053,-0.053,0.065,-0.065
27.0,0.0008,0.374,1.325,0.033,-0.033,0.029,-0.029
27.0,0.0013,0.23,1.19,0.027,-0.027,0.032,-0.032
27.0,0.0021,0.143,1.098,0.031,-0.031,0.019,-0.019
27.0,0.0032,0.094,0.902,0.024,-0.024,0.019,-0.019
27.0,0.005,0.06,0.804,0.02,-0.02,0.02,-0.02
27.0,0.008,0.037,0.731,0.019,-0.019,0.02,-0.02
27.0,0.013,0.023,0.634,0.013,-0.013,0.018,-0.018
35.0,0.0008,0.485,1.467,0.022,-0.022,0.043,-0.043
35.0,0.0013,0.298,1.241,0.017,-0.017,0.022,-0.022
35.0,0.0021,0.185,1.113,0.018,-0.018,0.018,-0.018
35.0,0.0032,0.121,0.963,0.016,-0.016,0.015,-0.015
35.0,0.005,0.078,0.865,0.014,-0.014,0.013,-0.013
35.0,0.008,0.049,0.727,0.012,-0.012,0.013,-0.013
35.0,0.013,0.03,0.646,0.012,-0.012,0.014,-0.014
35.0,0.021,0.018,0.555,0.01,-0.01,0.016,-0.016
35.0,0.032,0.012,0.496,0.005,-0.005,0.038,-0.038
45.0,0.0008,0.624,1.604,0.029,-0.029,0.058,-0.058
45.0,0.0013,0.384,1.327,0.017,-0.017,0.028,-0.028
45.0,0.0021,0.238,1.139,0.019,-0.019,0.019,-0.019
45.0,0.0032,0.156,1.001,0.015,-0.015,0.015,-0.015
45.0,0.005,0.1,0.91,0.013,-0.013,0.012,-0.012
45.0,0.008,0.062,0.777,0.011,-0.011,0.012,-0.012
45.0,0.013,0.038,0.661,0.011,-0.011,0.011,-0.011
45.0,0.021,0.024,0.587,0.01,-0.01,0.012,-0.012
60.0,0.0013,0.512,1.45,0.019,-0.019,0.032,-0.032
60.0,0.0021,0.317,1.23,0.018,-0.018,0.022,-0.022
60.0,0.0032,0.208,1.079,0.016,-0.016,0.016,-0.016
60.0,0.005,0.133,0.902,0.013,-0.013,0.014,-0.014
60.0,0.008,0.083,0.809,0.011,-0.011,0.012,-0.012
60.0,0.013,0.051,0.689,0.012,-0.012,0.013,-0.013
60.0,0.021,0.032,0.598,0.01,-0.01,0.014,-0.014
60.0,0.032,0.021,0.536,0.011,-0.011,0.018,-0.018
60.0,0.05,0.013,0.512,0.008,-0.008,0.035,-0.035
70.0,0.0013,0.597,1.531,0.028,-0.028,0.034,-0.034
70.0,0.0021,0.37,1.262,0.021,-0.021,0.024,-0.024
