q2,val,stat_err,pdf_err+,pdf_err-
1.000e+01,3.002e-01,1.910e-03,0.000e+00,0.000e+00
1.611e+01,2.966e-01,1.889e-03,0.000e+00,0.000e+00
2.222e+01,2.939e-01,1.872e-03,0.000e+00,0.000e+00
2.833e+01,2.914e-01,1.857e-03,0.000e+00,0.000e+00
3.444e+01,2.904e-01,1.850e-03,0.000e+00,0.000e+00
4.056e+01,2.882e-01,1.837e-03,0.000e+00,0.000e+00
4.667e+01,2.873e-01,1.829e-03,0.000e+00,0.000e+00
5.278e+01,2.863e-01,1.824e-03,0.000e+00,0.000e+00
5.889e+01,2.844e-01,1.813e-03,0.000e+00,0.000e+00
6.500e+01,2.846e-01,1.816e-03,0.000e+00,0.000e+00
